,sc_id,spot,corr,celltype
429,cell_1503,spot_44,0.9746017829850513,Astro
430,cell_1489,spot_44,0.9746017829850513,Olig
431,cell_424,spot_44,0.9746017829850513,Micro
432,cell_413,spot_44,0.9746017829850513,Micro
433,cell_406,spot_44,0.9746017829850513,Pvalb
434,cell_1454,spot_44,0.9746017829850513,ExcitatoryL6
435,cell_1462,spot_44,0.9746017829850513,ExcitatoryL6
436,cell_1401,spot_44,0.9746017829850513,ExcitatoryL6
437,cell_93,spot_44,0.9746017829850513,ExcitatoryL6
438,cell_195,spot_44,0.9746017829850513,ExcitatoryL6
439,cell_1075,spot_44,0.9746017829850513,ExcitatoryL6
440,cell_1390,spot_45,0.9663748264824483,Astro
441,cell_550,spot_45,0.9663748264824483,Astro
442,cell_1373,spot_45,0.9663748264824483,ExcitatoryL5
443,cell_1436,spot_45,0.9663748264824483,Endo
444,cell_388,spot_45,0.9663748264824483,Micro
445,cell_664,spot_45,0.9663748264824483,ExcitatoryL6
446,cell_1399,spot_45,0.9663748264824483,ExcitatoryL6
447,cell_268,spot_45,0.9663748264824483,ExcitatoryL6
448,cell_1432,spot_46,0.9750153982479769,Astro
449,cell_580,spot_46,0.9750153982479769,ExcitatoryL5
450,cell_1449,spot_46,0.9750153982479769,ExcitatoryL5
451,cell_606,spot_46,0.9750153982479769,ExcitatoryL5
452,cell_1485,spot_46,0.9750153982479769,Sst
453,cell_603,spot_46,0.9750153982479769,Other
454,cell_765,spot_46,0.9750153982479769,Olig
455,cell_424,spot_46,0.9750153982479769,Micro
456,cell_135,spot_46,0.9750153982479769,ExcitatoryL6
457,cell_1237,spot_46,0.9750153982479769,ExcitatoryL6
458,cell_1140,spot_47,0.9796876444704172,ExcitatoryL5
459,cell_862,spot_47,0.9796876444704172,ExcitatoryL5
460,cell_1222,spot_47,0.9796876444704172,ExcitatoryL5
461,cell_1342,spot_47,0.9796876444704172,ExcitatoryL5
462,cell_1445,spot_47,0.9796876444704172,ExcitatoryL5
463,cell_82,spot_47,0.9796876444704172,Vip
464,cell_1481,spot_47,0.9796876444704172,Endo
465,cell_507,spot_47,0.9796876444704172,ExcitatoryL6
466,cell_29,spot_47,0.9796876444704172,ExcitatoryL6
467,cell_1496,spot_47,0.9796876444704172,ExcitatoryL6
468,cell_58,spot_48,0.981867347815068,Endo
469,cell_1428,spot_48,0.981867347815068,Endo
470,cell_11,spot_48,0.981867347815068,Endo
471,cell_348,spot_48,0.981867347815068,ExcitatoryL4
472,cell_1359,spot_48,0.981867347815068,ExcitatoryL4
473,cell_842,spot_48,0.981867347815068,ExcitatoryL4
474,cell_1422,spot_48,0.981867347815068,Pvalb
475,cell_1154,spot_48,0.981867347815068,Pvalb
476,cell_349,spot_48,0.981867347815068,ExcitatoryL6
477,cell_222,spot_49,0.9886927015294007,Endo
478,cell_441,spot_49,0.9886927015294007,Endo
479,cell_339,spot_49,0.9886927015294007,ExcitatoryL4
480,cell_175,spot_49,0.9886927015294007,ExcitatoryL4
481,cell_905,spot_49,0.9886927015294007,ExcitatoryL4
482,cell_542,spot_49,0.9886927015294007,ExcitatoryL4
